"Qubit,""T1 (us)"",""T2 (us)"",""Readout assignment error"",""Prob meas0 prep1"",""Prob meas1 prep0"",""Readout length (ns)"",""ID error"",""Single-qubit gate length (ns)"",""RX error"",""Z-axis rotation (rz) error"",""√x (sx) error"",""Pauli-X error"",""XSLOW error"",""CZ error"",""Gate length (ns)"",""RZZ error"",""MEASURE error"",""MEASURE_2 error"",""Operational""";;;;;;
"0,""188.66471248799868"",""171.54223424500864"",""0.0123291015625"",""0.013427734375"",""0.01123046875"",""2280"",""0.00029762180418752796"",""32"",""0.00029762180418752796"",""0"",""0.00029762180418752796"",""0.00029762180418752796"",""0.00029762180418752796"",""1:0.0015924780340623723"",""1:68"",""1:0.0018483277249390362"",""0.0123291015625"",""0.345947265625"",""Yes""";;;;;;
"1,""218.72796187360183"",""298.35972148721714"",""0.0093994140625"",""0.010986328125"",""0.0078125"",""2280"",""0.00022884747241593082"",""32"",""0.00022884747241593082"",""0"",""0.00022884747241593082"",""0.00022884747241593082"",""0.00022884747241593082"",""2:0.001123136372409378";"0:0.0015924780340623723"",""2:68";"0:68"",""2:0.0024801405999395343";"0:0.0018483277249390362"",""0.0093994140625"",""0.16650390625"",""Yes""";;;
"2,""192.52970742698346"",""84.26356530527246"",""0.009033203125"",""0.0107421875"",""0.00732421875"",""2280"",""0.0001358956919723322"",""32"",""0.0001358956919723322"",""0"",""0.0001358956919723322"",""0.0001358956919723322"",""0.0001358956919723322"",""1:0.001123136372409378";"3:0.0017527128279956339"",""1:68";"3:68"",""1:0.0024801405999395343";"3:0.00156975463052772"",""0.009033203125"",""0.0107421875"",""Yes""";;;
"3,""131.16313748061663"",""176.01512825099456"",""0.0079345703125"",""0.01171875"",""0.004150390625"",""2280"",""0.0004213794990091155"",""32"",""0.0004213794990091155"",""0"",""0.0004213794990091155"",""0.0004213794990091155"",""0.0004213794990091155"",""16:0.0017042759166596422";2:0.0017527128279956339;"4:0.002590750019358601"",""16:68";0,130555556;"4:68"",""16:0.0016056262837878532";2:0.00156975463052772;"4:0.0023215350366947163"",""0.0079345703125"",""0.126708984375"",""Yes"""
"4,""174.72960573325713"",""41.94825691919921"",""0.0179443359375"",""0.027587890625"",""0.00830078125"",""2280"",""0.000331942545507568"",""32"",""0.000331942545507568"",""0"",""0.000331942545507568"",""0.000331942545507568"",""0.000331942545507568"",""3:0.002590750019358601";"5:0.002341625166192296"",""3:68";"5:68"",""3:0.0023215350366947163";"5:0.0026607353705991044"",""0.0179443359375"",""0.014404296875"",""Yes""";;;
"5,""128.94506134047364"",""50.83800781385053"",""0.0111083984375"",""0.01953125"",""0.002685546875"",""2280"",""0.0005409567494039225"",""32"",""0.0005409567494039225"",""0"",""0.0005409567494039225"",""0.0005409567494039225"",""0.0005409567494039225"",""6:0.0028962369624505324";"4:0.002341625166192296"",""6:68";"4:68"",""6:0.0031965798028024406";"4:0.0026607353705991044"",""0.0111083984375"",""0.163330078125"",""Yes""";;;
"6,""167.19506854079688"",""82.08360043326452"",""0.0081787109375"",""0.009765625"",""0.006591796875"",""2280"",""0.0002728136188754447"",""32"",""0.0002728136188754447"",""0"",""0.0002728136188754447"",""0.0002728136188754447"",""0.0002728136188754447"",""5:0.0028962369624505324";"7:0.009173451311455333"",""5:68";"7:80"",""5:0.0031965798028024406";"7:0.007791203435780103"",""0.0081787109375"",""0.009033203125"",""Yes""";;;
"7,""191.3224707299575"",""61.675843530327775"",""0.023193359375"",""0.02197265625"",""0.0244140625"",""2280"",""0.0004827525909559271"",""32"",""0.0004827525909559271"",""0"",""0.0004827525909559271"",""0.0004827525909559271"",""0.0004827525909559271"",""17:0.009136552080831334";6:0.009173451311455333;"8:0.007549726785676003"",""17:68";0,305555556;"8:68"",""17:0.007492111792692824";6:0.007791203435780103;"8:0.004421694743118404"",""0.023193359375"",""0.04833984375"",""Yes"""
"8,""171.98813337682785"",""60.6671042022307"",""0.006103515625"",""0.0107421875"",""0.00146484375"",""2280"",""0.000343807484809409"",""32"",""0.000343807484809409"",""0"",""0.000343807484809409"",""0.000343807484809409"",""0.000343807484809409"",""9:0.0028711662026531803";"7:0.007549726785676003"",""9:68";"7:68"",""9:0.00330488183773911";"7:0.004421694743118404"",""0.006103515625"",""0.01611328125"",""Yes""";;;
"9,""110.43706245097752"",""37.94379006392664"",""0.0086669921875"",""0.0126953125"",""0.004638671875"",""2280"",""0.0002850231596963811"",""32"",""0.0002850231596963811"",""0"",""0.0002850231596963811"",""0.0002850231596963811"",""0.0002850231596963811"",""8:0.0028711662026531803";"10:0.0054087835688300945"",""8:68";"10:68"",""8:0.00330488183773911";"10:0.0026679815459144662"",""0.0086669921875"",""0.040283203125"",""Yes""";;;
"10,""194.28770238960058"",""19.046703750241154"",""0.00341796875"",""0.00439453125"",""0.001708984375"",""2280"",""0.000253860507076551"",""32"",""0.000253860507076551"",""0"",""0.000253860507076551"",""0.000253860507076551"",""0.000253860507076551"",""9:0.0054087835688300945";"11:0.0014762423952038028"",""9:68";"11:68"",""9:0.0026679815459144662";"11:0.00134399333436247"",""0.00341796875"",""0.0029296875"",""Yes""";;;
